source_id	source_type	canonical_gene_id	evidence_path	evidence_kind
FGSG_00058	FGSG	fgraminearum::FGRAMPH1_01G00193	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00059	FGSG	fgraminearum::FGRAMPH1_01G00195	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00059	FGSG	fgraminearum::FGRAMPH1_01G00195	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00060	FGSG	fgraminearum::FGRAMPH1_01G00197	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00060	FGSG	fgraminearum::FGRAMPH1_01G00197	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00061	FGSG	fgraminearum::FGRAMPH1_01G00199	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00061	FGSG	fgraminearum::FGRAMPH1_01G00199	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00062	FGSG	fgraminearum::FGRAMPH1_01G00201	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00062	FGSG	fgraminearum::FGRAMPH1_01G00201	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00063	FGSG	fgraminearum::FGRAMPH1_01G00203	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00063	FGSG	fgraminearum::FGRAMPH1_01G00203	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00064	FGSG	fgraminearum::FGRAMPH1_01G00205	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00064	FGSG	fgraminearum::FGRAMPH1_01G00205	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
