source_layer	source_node	target_layer	target_node	count
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001943	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001945	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001950	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001951	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001954	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001957	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001959	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001961	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001969	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001971	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001972	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001974	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001975	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001977	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001978	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001981	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001983	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001989	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001990	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002000	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002008	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002013	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002016	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002018	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002023	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002034	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002038	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002047	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002049	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002050	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002051	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002055	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002056	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002061	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002062	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002068	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002069	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002073	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002076	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002079	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002082	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002085	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002088	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002094	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002096	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002101	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002104	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002108	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002112	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002114	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002125	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002132	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002147	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002150	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002152	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002153	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002154	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002155	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002157	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002162	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002174	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002181	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002187	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002203	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002206	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0002208	1
