fusion_method	threshold	metric	mean	sd	n	split_used
Concat	0.63	recall	0.6493150684931507	0.060267053705557704	5	test
Concat	0.64	recall	0.6420091324200913	0.05941339427150378	5	test
Concat	0.65	recall	0.6374429223744291	0.058707327669863654	5	test
Concat	0.66	recall	0.6319634703196346	0.05906141608951604	5	test
Concat	0.67	recall	0.6237442922374429	0.05532468029538249	5	test
Concat	0.68	recall	0.6182648401826485	0.056720342965681854	5	test
Concat	0.69	recall	0.6118721461187214	0.056848856611820694	5	test
Concat	0.7	recall	0.6045662100456621	0.056166239713917654	5	test
Concat	0.71	recall	0.5990867579908675	0.052402109782446665	5	test
Concat	0.72	recall	0.5936073059360731	0.04928546380119385	5	test
Concat	0.73	recall	0.5917808219178082	0.05008281126281737	5	test
Concat	0.74	recall	0.5808219178082191	0.04604859264101813	5	test
Concat	0.75	recall	0.5726027397260274	0.045041444002402536	5	test
Concat	0.76	recall	0.5570776255707763	0.0391470963458499	5	test
Concat	0.77	recall	0.5461187214611872	0.03855677047047408	5	test
Concat	0.78	recall	0.5360730593607306	0.03516278229804286	5	test
Concat	0.79	recall	0.5187214611872146	0.03618559407517616	5	test
Concat	0.8	recall	0.5077625570776256	0.032190971200026626	5	test
Concat	0.81	recall	0.4949771689497717	0.028258901272631618	5	test
Concat	0.82	recall	0.4812785388127853	0.027511178687474096	5	test
Concat	0.83	recall	0.46940639269406387	0.02446227440361438	5	test
Concat	0.84	recall	0.46118721461187207	0.021659436028550545	5	test
Concat	0.85	recall	0.4429223744292237	0.01990364814402134	5	test
Concat	0.86	recall	0.4292237442922374	0.015144405435412784	5	test
Concat	0.87	recall	0.41552511415525106	0.008542596773456488	5	test
Concat	0.88	recall	0.40456621004566207	0.015349530880339371	5	test
Concat	0.89	recall	0.3890410958904109	0.01809279703758808	5	test
Concat	0.9	recall	0.3716894977168949	0.013925069115960644	5	test
Concat	0.91	recall	0.3561643835616438	0.007219812009516847	5	test
Concat	0.92	recall	0.3324200913242009	0.014221380367486243	5	test
