raw_probe_id	mapped_gene_id	mapping_status	mapping_method	keep_record	source_file	platform_gpl
3893_s_at	S000003649	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3894_s_at	S000003649	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3895_s_at	S000003649	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3896_s_at	S000003649	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3897_s_at	S000003649	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3898_s_at	S000003649	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3899_s_at	S000003649	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3900_f_at	S000003650	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3901_f_at	S000003650	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3902_f_at	S000001322	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3903_i_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3904_f_at	S000000068	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3905_s_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3906_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3907_f_at	S000001038	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3908_i_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3909_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3910_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3911_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3912_f_at	S000000068	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3913_s_at	S000000068	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3914_s_at	S000000940	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3915_s_at	S000000067	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3916_s_at	S000000067	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3917_f_at	S000000067	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3918_f_at	S000000067	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3919_f_at	S000000067	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3920_f_at	S000000067	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3921_s_at	S000000068	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3922_f_at	S000000068	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3923_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3924_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3925_f_at	S000007347	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3926_f_at	S000000068	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3927_f_at	S000001322	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3928_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3929_s_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3930_i_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3931_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3932_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3933_s_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3934_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3935_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3936_at	S000001424	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3937_g_at	S000001424	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3938_at	S000000165	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3939_at	S000000210	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3940_at	S000000405	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3941_at	S000000529	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3942_at	S000001863	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3943_i_at	S000001863	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3944_f_at	S000001863	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3945_at	S000003261	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3946_at	S000003261	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3947_at	S000007242	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3948_s_at	S000001681	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3949_i_at	S000004989	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3950_at	S000005124	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3951_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3952_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3953_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3954_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3955_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3956_i_at	S000007267	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3957_r_at	S000007267	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3958_r_at		ambiguous	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3959_at	S000007268	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3960_at		ambiguous	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3961_i_at		ambiguous	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3962_f_at		ambiguous	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3963_at		ambiguous	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3964_at		ambiguous	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3965_i_at		ambiguous	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3966_i_at		ambiguous	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3967_r_at		ambiguous	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3968_s_at	S000007271	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3969_at	S000007271	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3970_s_at	S000007272	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3971_at	S000007272	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3972_s_at	S000007273	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3973_at	S000007273	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3974_at	S000007270	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3975_at	S000007270	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3976_at	S000007274	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3977_i_at		ambiguous	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3978_r_at		ambiguous	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3979_i_at	S000007275	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3980_r_at	S000007275	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3981_at	S000007279	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3982_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3983_at	S000007268	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3984_r_at	S000007282	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3985_i_at	S000007282	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3986_f_at		ambiguous	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3987_at	S000007282	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3988_at	S000007272	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3989_at	S000007273	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3990_i_at		ambiguous	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3991_r_at		ambiguous	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3992_f_at		ambiguous	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3993_at	S000007274	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3994_at		ambiguous	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3995_i_at		ambiguous	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3996_s_at	S000007261	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3997_at		ambiguous	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3998_at	S000007261	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3999_at	S000007262	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
