raw_protein1	raw_protein2	mapped_A	mapped_B	keep_edge	drop_reason	combined_score	coexpression	experimental	database
229533.A0A098CYV1	229533.A0A098DE61	FGRAMPH1_01G00009	FGRAMPH1_01G09859	True		223	169	0	0
229533.A0A098CYV1	229533.I1RF59	FGRAMPH1_01G00009	FGRAMPH1_01G05595	True		191	134	0	0
229533.A0A098CYV1	229533.I1RDW1	FGRAMPH1_01G00009	FGRAMPH1_01G04425	True		230	0	0	0
229533.A0A098CYV1	229533.A0A1C3YKF0	FGRAMPH1_01G00009	FGRAMPH1_01G21579	True		310	94	0	270
229533.A0A098CYV1	229533.I1REA0	FGRAMPH1_01G00009	FGRAMPH1_01G04787	True		310	94	0	270
229533.A0A098CYV1	229533.I1RTG9	FGRAMPH1_01G00009	FGRAMPH1_01G24899	True		162	0	157	0
229533.A0A098CYV1	229533.I1RCU9	FGRAMPH1_01G00009	FGRAMPH1_01G03519	True		186	69	0	0
229533.A0A098CYV1	229533.I1S3G4	FGRAMPH1_01G00009	FGRAMPH1_01G21835	True		499	0	53	0
229533.A0A098CYV1	229533.A0A1C3YKB7	FGRAMPH1_01G00009	FGRAMPH1_01G18861	True		191	134	0	0
229533.A0A098CYV1	229533.A0A1C3YK08	FGRAMPH1_01G00009	FGRAMPH1_01G19697	True		239	52	0	0
229533.A0A098CYV1	229533.A0A0E0SDN6	FGRAMPH1_01G00009	FGRAMPH1_01G23769	True		230	231	0	0
229533.A0A098CYV1	229533.I1RN54	FGRAMPH1_01G00009	FGRAMPH1_01G17869	True		280	280	0	0
229533.A0A098CYV1	229533.I1RMC5	FGRAMPH1_01G00009	FGRAMPH1_01G17131	True		165	55	0	0
229533.A0A098CYV1	229533.I1RKP1	FGRAMPH1_01G00009	FGRAMPH1_01G15331	True		240	126	0	0
229533.A0A098CYV1	229533.I1S9C2	FGRAMPH1_01G00009	FGRAMPH1_01G08945	True		310	94	0	270
229533.A0A098CYV1	229533.I1RT54	FGRAMPH1_01G00009	FGRAMPH1_01G24607	True		213	0	0	0
229533.A0A098CYV1	229533.V6QZ48	FGRAMPH1_01G00009	FGRAMPH1_01G05353	True		191	134	0	0
229533.A0A098CYV1	229533.A0A0E0S3A4	FGRAMPH1_01G00009	FGRAMPH1_01G12353	True		157	148	0	0
229533.A0A098CYV1	229533.A0A1C3YKK9	FGRAMPH1_01G00009	FGRAMPH1_01G20121	True		194	68	0	0
229533.A0A098CYV1	229533.A0A098DJ03	FGRAMPH1_01G00009	FGRAMPH1_01G12245	True		207	147	0	0
229533.A0A098CYV1	229533.I1RSB0	FGRAMPH1_01G00009	FGRAMPH1_01G23767	True		162	0	157	0
229533.A0A098CYV1	229533.I1S065	FGRAMPH1_01G00009	FGRAMPH1_01G07235	True		173	67	0	0
229533.A0A098CYV1	229533.I1RCW9	FGRAMPH1_01G00009	FGRAMPH1_01G03571	True		156	149	0	0
229533.A0A098CYV1	229533.I1RRT8	FGRAMPH1_01G00009	FGRAMPH1_01G23279	True		270	0	0	0
229533.A0A098CYV1	229533.V6R476	FGRAMPH1_01G00009	FGRAMPH1_01G15193	True		158	0	157	0
229533.A0A098CYV1	229533.A0A1C3YN40	FGRAMPH1_01G00009	FGRAMPH1_01G14731	True		173	67	0	0
229533.A0A098CYV1	229533.I1RI11	FGRAMPH1_01G00009	FGRAMPH1_01G12867	True		346	280	0	0
229533.A0A098CYV1	229533.I1RZG9	FGRAMPH1_01G00009	FGRAMPH1_01G26223	True		284	285	0	0
229533.A0A098CYV1	229533.I1RQV1	FGRAMPH1_01G00009	FGRAMPH1_01G22309	True		254	119	0	0
229533.A0A098CYV1	229533.I1RPK0	FGRAMPH1_01G00009	FGRAMPH1_01G19191	True		186	85	0	0
229533.A0A098CYV1	229533.V6RLM7	FGRAMPH1_01G00009	FGRAMPH1_01G22955	True		474	74	0	0
229533.A0A098CYV1	229533.A0A1C3YN42	FGRAMPH1_01G00009	FGRAMPH1_01G13811	True		245	146	0	0
229533.A0A098CYV1	229533.A0A1C3YN83	FGRAMPH1_01G00009	FGRAMPH1_01G14479	True		159	96	0	0
229533.A0A098CYV1	229533.I1RHM8	FGRAMPH1_01G00009	FGRAMPH1_01G12507	True		254	119	0	0
