raw_id	mapped_gene_id	mapping_status	mapping_method	mapping_evidence
C26B9.6.1	WBGene00016135	mapped	alias_bridge	STRING aliases bridge
C26C6.1a.1		unmapped	none	no evidence found
C26C6.2.1		unmapped	none	no evidence found
C26C6.3.1	WBGene00003552	mapped	alias_bridge	STRING aliases bridge
C26C6.5b.1		unmapped	none	no evidence found
C26C6.9.1		unmapped	none	no evidence found
C26D10.1.1		unmapped	none	no evidence found
C26D10.2a.1		unmapped	none	no evidence found
C26D10.5a.1		unmapped	none	no evidence found
C26D10.7.1		unmapped	none	no evidence found
C26E6.1.1	WBGene00016137	mapped	alias_bridge	STRING aliases bridge
C26E6.12.1	WBGene00016145	mapped	alias_bridge	STRING aliases bridge
C26E6.2.1	WBGene00016138	mapped	alias_bridge	STRING aliases bridge
C26E6.3.1		unmapped	none	no evidence found
C26E6.4.1	WBGene00016140	mapped	alias_bridge	STRING aliases bridge
C26E6.5.1	WBGene00001499	mapped	alias_bridge	STRING aliases bridge
C26E6.6.1		unmapped	none	no evidence found
C26E6.8b.1		unmapped	none	no evidence found
C26E6.9c.1	WBGene00004782	mapped	alias_bridge	STRING aliases bridge
C26F1.10.1	WBGene00001464	mapped	alias_bridge	STRING aliases bridge
C26F1.4.3		unmapped	none	no evidence found
C26F1.6.1	WBGene00016149	mapped	alias_bridge	STRING aliases bridge
C26F1.9.1		unmapped	none	no evidence found
C26G2.1b.1	WBGene00007750	mapped	alias_bridge	STRING aliases bridge
C26H9A.1b.1	WBGene00006916	mapped	alias_bridge	STRING aliases bridge
C27A12.10.1		unmapped	none	no evidence found
C27A12.2.1		unmapped	none	no evidence found
C27A12.3.1		unmapped	none	no evidence found
C27A12.5.1	WBGene00000429	mapped	alias_bridge	STRING aliases bridge
C27A12.6.1	WBGene00016156	mapped	alias_bridge	STRING aliases bridge
C27A12.7a.1	WBGene00016157	mapped	alias_bridge	STRING aliases bridge
C27A12.8.2		unmapped	none	no evidence found
C27A12.9.1		unmapped	none	no evidence found
C27A2.1.1		unmapped	none	no evidence found
C27A2.2a.1	WBGene00004434	mapped	alias_bridge	STRING aliases bridge
C27A2.3.2	WBGene00002068	mapped	alias_bridge	STRING aliases bridge
C27A2.6.1	WBGene00001102	mapped	alias_bridge	STRING aliases bridge
C27A2.7.1		unmapped	none	no evidence found
C27A7.1a.1	WBGene00007753	mapped	alias_bridge	STRING aliases bridge
C27A7.3a.1	WBGene00007755	mapped	alias_bridge	STRING aliases bridge
C27A7.4.1	WBGene00000490	mapped	alias_bridge	STRING aliases bridge
C27A7.6c.1	WBGene00007757	mapped	alias_bridge	STRING aliases bridge
C27B7.1b.1	WBGene00005007	mapped	alias_bridge	STRING aliases bridge
C27B7.4a.1	WBGene00007761	mapped	alias_bridge	STRING aliases bridge
C27B7.5.1	WBGene00007762	mapped	alias_bridge	STRING aliases bridge
C27B7.6.1	WBGene00007763	mapped	alias_bridge	STRING aliases bridge
C27B7.7a.1	WBGene00007764	mapped	alias_bridge	STRING aliases bridge
C27B7.8.1		unmapped	none	no evidence found
C27C12.2.1		unmapped	none	no evidence found
C27C12.4.1	WBGene00007774	mapped	alias_bridge	STRING aliases bridge
C27C12.5b.1	WBGene00007775	mapped	alias_bridge	STRING aliases bridge
C27C12.6.1		unmapped	none	no evidence found
C27C12.7.2	WBGene00001055	mapped	alias_bridge	STRING aliases bridge
C27D11.1.1	WBGene00001209	mapped	alias_bridge	STRING aliases bridge
C27D6.10.1	WBGene00005066	mapped	alias_bridge	STRING aliases bridge
C27D6.3.1	WBGene00016161	mapped	alias_bridge	STRING aliases bridge
C27D6.4c.1	WBGene00016162	mapped	alias_bridge	STRING aliases bridge
C27D6.6.1	WBGene00005070	mapped	alias_bridge	STRING aliases bridge
C27D6.8.1	WBGene00005068	mapped	alias_bridge	STRING aliases bridge
C27D6.9.1		unmapped	none	no evidence found
C27D8.1.1		unmapped	none	no evidence found
C27D9.2.1	WBGene00016164	mapped	alias_bridge	STRING aliases bridge
C27F2.1.1		unmapped	none	no evidence found
C27F2.10.2	WBGene00016171	mapped	alias_bridge	STRING aliases bridge
C27F2.2a.1		unmapped	none	no evidence found
C27F2.4.1	WBGene00016166	mapped	alias_bridge	STRING aliases bridge
C27F2.5.1		unmapped	none	no evidence found
C27F2.8.1		unmapped	none	no evidence found
C27F2.9.1	WBGene00043156	mapped	alias_bridge	STRING aliases bridge
C27H5.1.1	WBGene00003966	mapped	alias_bridge	STRING aliases bridge
C27H5.3a.2		unmapped	none	no evidence found
C27H5.5c.1		unmapped	none	no evidence found
C27H5.7a.1		unmapped	none	no evidence found
C27H5.8.1	WBGene00001594	mapped	alias_bridge	STRING aliases bridge
C27H6.1a.1		unmapped	none	no evidence found
C27H6.2.1		unmapped	none	no evidence found
C27H6.3.1	WBGene00007785	mapped	alias_bridge	STRING aliases bridge
C27H6.4b.1	WBGene00007786	mapped	alias_bridge	STRING aliases bridge
C27H6.8.1	WBGene00007787	mapped	alias_bridge	STRING aliases bridge
C27H6.9.1	WBGene00077500	mapped	alias_bridge	STRING aliases bridge
C28A5.3.1		unmapped	none	no evidence found
C28A5.4b.1		unmapped	none	no evidence found
C28A5.6.1	WBGene00007791	mapped	alias_bridge	STRING aliases bridge
C28C12.10b.1	WBGene00006450	mapped	alias_bridge	STRING aliases bridge
C28C12.5.1	WBGene00004993	mapped	alias_bridge	STRING aliases bridge
C28C12.7b.1	WBGene00004995	mapped	alias_bridge	STRING aliases bridge
C28C12.8.1		unmapped	none	no evidence found
C28C12.9.2	WBGene00001566	mapped	alias_bridge	STRING aliases bridge
C28D4.1.1	WBGene00003690	mapped	alias_bridge	STRING aliases bridge
C28D4.2a.1	WBGene00000509	mapped	alias_bridge	STRING aliases bridge
C28D4.3.2		unmapped	none	no evidence found
C28D4.9.1	WBGene00003728	mapped	alias_bridge	STRING aliases bridge
C28F5.4.1		unmapped	none	no evidence found
C28G1.1.1	WBGene00006718	mapped	alias_bridge	STRING aliases bridge
C28G1.10.1	WBGene00219376	mapped	alias_bridge	STRING aliases bridge
C28G1.2.1	WBGene00016187	mapped	alias_bridge	STRING aliases bridge
C28G1.3.1		unmapped	none	no evidence found
C28G1.4.1	WBGene00016189	mapped	alias_bridge	STRING aliases bridge
C28H8.1.1		unmapped	none	no evidence found
C28H8.12.1		unmapped	none	no evidence found
C28H8.3.1	WBGene00016194	mapped	alias_bridge	STRING aliases bridge
C28H8.4.1		unmapped	none	no evidence found
C28H8.6a.1		unmapped	none	no evidence found
C28H8.9a.1	WBGene00016200	mapped	alias_bridge	STRING aliases bridge
C29A12.3a.1	WBGene00002985	mapped	alias_bridge	STRING aliases bridge
C29A12.4k.1	WBGene00007799	mapped	alias_bridge	STRING aliases bridge
C29E4.1.1	WBGene00000665	mapped	alias_bridge	STRING aliases bridge
C29E4.10.1	WBGene00016207	mapped	alias_bridge	STRING aliases bridge
C29E4.12.1	WBGene00016209	mapped	alias_bridge	STRING aliases bridge
C29E4.2.1		unmapped	none	no evidence found
C29E4.3a.1	WBGene00004303	mapped	alias_bridge	STRING aliases bridge
C29E4.4.1		unmapped	none	no evidence found
C29E4.5a.1	WBGene00016203	mapped	alias_bridge	STRING aliases bridge
C29E4.7.1		unmapped	none	no evidence found
C29E4.8.2	WBGene00002879	mapped	alias_bridge	STRING aliases bridge
C29E6.1a.2		unmapped	none	no evidence found
C29E6.2a.1		unmapped	none	no evidence found
C29E6.5a.1	WBGene00003633	mapped	alias_bridge	STRING aliases bridge
C29F3.1.1	WBGene00001150	mapped	alias_bridge	STRING aliases bridge
C29F3.2.1	WBGene00006954	mapped	alias_bridge	STRING aliases bridge
C29F3.6.1		unmapped	none	no evidence found
C29F3.7a.1	WBGene00007807	mapped	alias_bridge	STRING aliases bridge
C29F4.2.1	WBGene00007808	mapped	alias_bridge	STRING aliases bridge
C29F5.1.1	WBGene00016210	mapped	alias_bridge	STRING aliases bridge
C29F5.3.1	WBGene00016212	mapped	alias_bridge	STRING aliases bridge
C29F5.4.1		unmapped	none	no evidence found
C29F5.7.1	WBGene00016215	mapped	alias_bridge	STRING aliases bridge
C29F7.3.1	WBGene00007812	mapped	alias_bridge	STRING aliases bridge
C29F7.4a.1	WBGene00001435	mapped	alias_bridge	STRING aliases bridge
C29F7.5.1	WBGene00001436	mapped	alias_bridge	STRING aliases bridge
C29F7.6a.1	WBGene00007813	mapped	alias_bridge	STRING aliases bridge
C29F9.5.1		unmapped	none	no evidence found
C29F9.6.1	WBGene00016221	mapped	alias_bridge	STRING aliases bridge
C29F9.7.1		unmapped	none	no evidence found
C29G2.6.1	WBGene00016234	mapped	alias_bridge	STRING aliases bridge
C29H12.1.1		unmapped	none	no evidence found
C29H12.2.2		unmapped	none	no evidence found
C29H12.3a.1	WBGene00004346	mapped	alias_bridge	STRING aliases bridge
C29H12.5.1	WBGene00016236	mapped	alias_bridge	STRING aliases bridge
C30A5.10a.1	WBGene00016242	mapped	alias_bridge	STRING aliases bridge
C30A5.2.1		unmapped	none	no evidence found
C30A5.3.1	WBGene00016238	mapped	alias_bridge	STRING aliases bridge
C30A5.4.1		unmapped	none	no evidence found
C30A5.5.1	WBGene00004899	mapped	alias_bridge	STRING aliases bridge
C30A5.7b.1	WBGene00006818	mapped	alias_bridge	STRING aliases bridge
C30B5.2a.1	WBGene00016244	mapped	alias_bridge	STRING aliases bridge
C30B5.3.1	WBGene00000771	mapped	alias_bridge	STRING aliases bridge
C30B5.4.1		unmapped	none	no evidence found
C30B5.5.1	WBGene00016246	mapped	alias_bridge	STRING aliases bridge
C30B5.9.1		unmapped	none	no evidence found
C30C11.1.1		unmapped	none	no evidence found
C30C11.2.1	WBGene00004460	mapped	alias_bridge	STRING aliases bridge
C30C11.4.2		unmapped	none	no evidence found
C30D11.1j.1	WBGene00006830	mapped	alias_bridge	STRING aliases bridge
C30E1.4.1		unmapped	none	no evidence found
C30F12.1.1		unmapped	none	no evidence found
C30F12.2.2	WBGene00016261	mapped	alias_bridge	STRING aliases bridge
