taxid	uniprot_id	species_name	domain	scientific_name	kingdom	phylum	class	order	family	genus	species
559515	UP000011713	Hyaloperonospora arabidopsidis (strain Emoy2)	Eukaryota	Hyaloperonospora arabidopsidis Emoy2	k__Eukaryota	p__Oomycota	c__unclassified Oomycota class	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	s__Hyaloperonospora arabidopsidis
561896	UP000001743	Postia placenta (strain ATCC 44394 / Madison 698-R)	Eukaryota	Postia placenta Mad-698-R	k__Eukaryota	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Postiaceae	g__Postia	s__Postia placenta
572307	UP000007494	Neospora caninum (strain Liverpool)	Eukaryota	Neospora caninum Liverpool	k__Eukaryota	p__Apicomplexa	c__Conoidasida	o__Eucoccidiorida	f__Sarcocystidae	g__Neospora	s__Neospora caninum
573729	UP000007322	Myceliophthora thermophila (strain ATCC 42464 / BCRC 31852 / DSM 1799)	Eukaryota	Thermothelomyces thermophilus ATCC 42464	k__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Thermothelomyces	s__Thermothelomyces thermophilus
5762	UP000006671	Naegleria gruberi	Eukaryota	Naegleria gruberi	k__Eukaryota	p__Heterolobosea	c__unclassified Heterolobosea class	o__unclassified Heterolobosea order	f__Vahlkampfiidae	g__Naegleria	s__Naegleria gruberi
936435	UP000008063	Serpula lacrymans var. lacrymans (strain S7.3)	Eukaryota	Serpula lacrymans var. lacrymans S7.3	k__Eukaryota	p__Basidiomycota	c__Agaricomycetes	o__Boletales	f__Serpulaceae	g__Serpula	s__Serpula lacrymans
578458	UP000007431	Schizophyllum commune (strain H4-8 / FGSC 9210)	Eukaryota	Schizophyllum commune H4-8	k__Eukaryota	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Schizophyllaceae	g__Schizophyllum	s__Schizophyllum commune
578460	UP000009082	Nosema ceranae (strain BRL01)	Eukaryota	Vairimorpha ceranae BRL01	k__Eukaryota	p__Microsporidia	c__unclassified Microsporidia class	o__unclassified Microsporidia order	f__Nosematidae	g__Vairimorpha	s__Vairimorpha ceranae
595528	UP000008743	Capsaspora owczarzaki (strain ATCC 30864)	Eukaryota	Capsaspora owczarzaki ATCC 30864	k__Eukaryota	p__unclassified Eukaryota phylum	c__Filasterea	o__unclassified Filasterea order	f__unclassified Filasterea family	g__Capsaspora	s__Capsaspora owczarzaki
597362	UP000008493	Agaricus bisporus var. burnettii (strain JB137-S8 / ATCC MYA-4627 / FGSC 10392)	Eukaryota	Agaricus bisporus var. burnettii JB137-S8	k__Eukaryota	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Agaricaceae	g__Agaricus	s__Agaricus bisporus
