species_key	focal_taxid	query_level_taxid	query_level_name	member_orthodb_organism_id	member_taxid	member_scientific_name
celegans	6239	2759	Eukaryota	6573_0	6573	Mizuhopecten yessoensis
celegans	6239	2759	Eukaryota	6573_1	6573	Mizuhopecten yessoensis
celegans	6239	2759	Eukaryota	6579_0	6579	Pecten maximus
celegans	6239	2759	Eukaryota	6596_0	6596	Mercenaria mercenaria
celegans	6239	2759	Eukaryota	6596_1	6596	Mercenaria mercenaria
celegans	6239	2759	Eukaryota	6604_0	6604	Mya arenaria
celegans	6239	2759	Eukaryota	6669_0	6669	Daphnia pulex
celegans	6239	2759	Eukaryota	6669_1	6669	Daphnia pulex
celegans	6239	2759	Eukaryota	6669_2	6669	Daphnia pulex
celegans	6239	2759	Eukaryota	6687_0	6687	Penaeus monodon
celegans	6239	2759	Eukaryota	6687_1	6687	Penaeus monodon
celegans	6239	2759	Eukaryota	6689_0	6689	Penaeus vannamei
celegans	6239	2759	Eukaryota	6689_1	6689	Penaeus vannamei
celegans	6239	2759	Eukaryota	6706_0	6706	Homarus americanus
celegans	6239	2759	Eukaryota	6728_0	6728	Procambarus clarkii
celegans	6239	2759	Eukaryota	6728_1	6728	Procambarus clarkii
celegans	6239	2759	Eukaryota	6832_0	6832	Tigriopus californicus
celegans	6239	2759	Eukaryota	6850_0	6850	Limulus polyphemus
celegans	6239	2759	Eukaryota	6941_0	6941	Rhipicephalus microplus
celegans	6239	2759	Eukaryota	6941_1	6941	Rhipicephalus microplus
celegans	6239	2759	Eukaryota	6945_0	6945	Ixodes scapularis
celegans	6239	2759	Eukaryota	6945_1	6945	Ixodes scapularis
celegans	6239	2759	Eukaryota	6954_0	6954	Dermatophagoides farinae
celegans	6239	2759	Eukaryota	6956_0	6956	Dermatophagoides pteronyssinus
celegans	6239	2759	Eukaryota	6956_1	6956	Dermatophagoides pteronyssinus
celegans	6239	2759	Eukaryota	6958_0	6958	Euroglyphus maynei
celegans	6239	2759	Eukaryota	6973_0	6973	Blattella germanica
celegans	6239	2759	Eukaryota	6978_0	6978	Periplaneta americana
celegans	6239	2759	Eukaryota	6984_0	6984	Diploptera punctata
