raw_id	raw_id_type	mapped_graph_gene_id	mapped_canonical_gene_id	mapping_status	mapping_rule
FGRAMPH1_01G00627	ph1_gene_id	FGRAMPH1_01G00627	fgraminearum::FGRAMPH1_01G00627	resolved	exact_mainline_graph_id
FGRAMPH1_01G00629	ph1_gene_id	FGRAMPH1_01G00629	fgraminearum::FGRAMPH1_01G00629	resolved	exact_mainline_graph_id
FGRAMPH1_01G00631	ph1_gene_id	FGRAMPH1_01G00631	fgraminearum::FGRAMPH1_01G00631	resolved	exact_mainline_graph_id
FGRAMPH1_01G00633	ph1_gene_id	FGRAMPH1_01G00633	fgraminearum::FGRAMPH1_01G00633	resolved	exact_mainline_graph_id
FGRAMPH1_01G00635	ph1_gene_id	FGRAMPH1_01G00635	fgraminearum::FGRAMPH1_01G00635	resolved	exact_mainline_graph_id
FGRAMPH1_01G00637	ph1_gene_id	FGRAMPH1_01G00637	fgraminearum::FGRAMPH1_01G00637	resolved	exact_mainline_graph_id
FGRAMPH1_01G00659	ph1_gene_id	FGRAMPH1_01G00659	fgraminearum::FGRAMPH1_01G00659	resolved	exact_mainline_graph_id
FGRAMPH1_01G00679	ph1_gene_id	FGRAMPH1_01G00679	fgraminearum::FGRAMPH1_01G00679	resolved	exact_mainline_graph_id
FGRAMPH1_01G00699	ph1_gene_id	FGRAMPH1_01G00699	fgraminearum::FGRAMPH1_01G00699	resolved	exact_mainline_graph_id
FGRAMPH1_01G00701	ph1_gene_id	FGRAMPH1_01G00701	fgraminearum::FGRAMPH1_01G00701	resolved	exact_mainline_graph_id
FGRAMPH1_01G00707	ph1_gene_id	FGRAMPH1_01G00707	fgraminearum::FGRAMPH1_01G00707	resolved	exact_mainline_graph_id
FGRAMPH1_01G00713	ph1_gene_id	FGRAMPH1_01G00713	fgraminearum::FGRAMPH1_01G00713	resolved	exact_mainline_graph_id
FGRAMPH1_01G00719	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00721	ph1_gene_id	FGRAMPH1_01G00721	fgraminearum::FGRAMPH1_01G00721	resolved	exact_mainline_graph_id
FGRAMPH1_01G00731	ph1_gene_id	FGRAMPH1_01G00731	fgraminearum::FGRAMPH1_01G00731	resolved	exact_mainline_graph_id
FGRAMPH1_01G00743	ph1_gene_id	FGRAMPH1_01G00743	fgraminearum::FGRAMPH1_01G00743	resolved	exact_mainline_graph_id
FGRAMPH1_01G00747	ph1_gene_id	FGRAMPH1_01G00747	fgraminearum::FGRAMPH1_01G00747	resolved	exact_mainline_graph_id
FGRAMPH1_01G00753	ph1_gene_id	FGRAMPH1_01G00753	fgraminearum::FGRAMPH1_01G00753	resolved	exact_mainline_graph_id
FGRAMPH1_01G00755	ph1_gene_id	FGRAMPH1_01G00755	fgraminearum::FGRAMPH1_01G00755	resolved	exact_mainline_graph_id
FGRAMPH1_01G00763	ph1_gene_id	FGRAMPH1_01G00763	fgraminearum::FGRAMPH1_01G00763	resolved	exact_mainline_graph_id
FGRAMPH1_01G00771	ph1_gene_id	FGRAMPH1_01G00771	fgraminearum::FGRAMPH1_01G00771	resolved	exact_mainline_graph_id
FGRAMPH1_01G00773	ph1_gene_id	FGRAMPH1_01G00773	fgraminearum::FGRAMPH1_01G00773	resolved	exact_mainline_graph_id
FGRAMPH1_01G00775	ph1_gene_id	FGRAMPH1_01G00775	fgraminearum::FGRAMPH1_01G00775	resolved	exact_mainline_graph_id
FGRAMPH1_01G00779	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00781	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00785	ph1_gene_id	FGRAMPH1_01G00785	fgraminearum::FGRAMPH1_01G00785	resolved	exact_mainline_graph_id
FGRAMPH1_01G00787	ph1_gene_id	FGRAMPH1_01G00787	fgraminearum::FGRAMPH1_01G00787	resolved	exact_mainline_graph_id
FGRAMPH1_01G00793	ph1_gene_id	FGRAMPH1_01G00793	fgraminearum::FGRAMPH1_01G00793	resolved	exact_mainline_graph_id
FGRAMPH1_01G00795	ph1_gene_id	FGRAMPH1_01G00795	fgraminearum::FGRAMPH1_01G00795	resolved	exact_mainline_graph_id
FGRAMPH1_01G00797	ph1_gene_id	FGRAMPH1_01G00797	fgraminearum::FGRAMPH1_01G00797	resolved	exact_mainline_graph_id
FGRAMPH1_01G00803	ph1_gene_id	FGRAMPH1_01G00803	fgraminearum::FGRAMPH1_01G00803	resolved	exact_mainline_graph_id
FGRAMPH1_01G00805	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00807	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00809	ph1_gene_id	FGRAMPH1_01G00809	fgraminearum::FGRAMPH1_01G00809	resolved	exact_mainline_graph_id
FGRAMPH1_01G00811	ph1_gene_id	FGRAMPH1_01G00811	fgraminearum::FGRAMPH1_01G00811	resolved	exact_mainline_graph_id
FGRAMPH1_01G00813	ph1_gene_id	FGRAMPH1_01G00813	fgraminearum::FGRAMPH1_01G00813	resolved	exact_mainline_graph_id
FGRAMPH1_01G00815	ph1_gene_id	FGRAMPH1_01G00815	fgraminearum::FGRAMPH1_01G00815	resolved	exact_mainline_graph_id
FGRAMPH1_01G00819	ph1_gene_id	FGRAMPH1_01G00819	fgraminearum::FGRAMPH1_01G00819	resolved	exact_mainline_graph_id
FGRAMPH1_01G00821	ph1_gene_id	FGRAMPH1_01G00821	fgraminearum::FGRAMPH1_01G00821	resolved	exact_mainline_graph_id
FGRAMPH1_01G00829	ph1_gene_id	FGRAMPH1_01G00829	fgraminearum::FGRAMPH1_01G00829	resolved	exact_mainline_graph_id
FGRAMPH1_01G00839	ph1_gene_id	FGRAMPH1_01G00839	fgraminearum::FGRAMPH1_01G00839	resolved	exact_mainline_graph_id
FGRAMPH1_01G00841	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00843	ph1_gene_id	FGRAMPH1_01G00843	fgraminearum::FGRAMPH1_01G00843	resolved	exact_mainline_graph_id
FGRAMPH1_01G00845	ph1_gene_id	FGRAMPH1_01G00845	fgraminearum::FGRAMPH1_01G00845	resolved	exact_mainline_graph_id
FGRAMPH1_01G00847	ph1_gene_id	FGRAMPH1_01G00847	fgraminearum::FGRAMPH1_01G00847	resolved	exact_mainline_graph_id
FGRAMPH1_01G00849	ph1_gene_id	FGRAMPH1_01G00849	fgraminearum::FGRAMPH1_01G00849	resolved	exact_mainline_graph_id
FGRAMPH1_01G00853	ph1_gene_id	FGRAMPH1_01G00853	fgraminearum::FGRAMPH1_01G00853	resolved	exact_mainline_graph_id
FGRAMPH1_01G00855	ph1_gene_id	FGRAMPH1_01G00855	fgraminearum::FGRAMPH1_01G00855	resolved	exact_mainline_graph_id
FGRAMPH1_01G00857	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00861	ph1_gene_id	FGRAMPH1_01G00861	fgraminearum::FGRAMPH1_01G00861	resolved	exact_mainline_graph_id
FGRAMPH1_01G00863	ph1_gene_id	FGRAMPH1_01G00863	fgraminearum::FGRAMPH1_01G00863	resolved	exact_mainline_graph_id
FGRAMPH1_01G00867	ph1_gene_id	FGRAMPH1_01G00867	fgraminearum::FGRAMPH1_01G00867	resolved	exact_mainline_graph_id
FGRAMPH1_01G00869	ph1_gene_id	FGRAMPH1_01G00869	fgraminearum::FGRAMPH1_01G00869	resolved	exact_mainline_graph_id
FGRAMPH1_01G00873	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00875	ph1_gene_id	FGRAMPH1_01G00875	fgraminearum::FGRAMPH1_01G00875	resolved	exact_mainline_graph_id
FGRAMPH1_01G00879	ph1_gene_id	FGRAMPH1_01G00879	fgraminearum::FGRAMPH1_01G00879	resolved	exact_mainline_graph_id
FGRAMPH1_01G00881	ph1_gene_id	FGRAMPH1_01G00881	fgraminearum::FGRAMPH1_01G00881	resolved	exact_mainline_graph_id
FGRAMPH1_01G00883	ph1_gene_id	FGRAMPH1_01G00883	fgraminearum::FGRAMPH1_01G00883	resolved	exact_mainline_graph_id
FGRAMPH1_01G00885	ph1_gene_id	FGRAMPH1_01G00885	fgraminearum::FGRAMPH1_01G00885	resolved	exact_mainline_graph_id
