raw_id	raw_id_type	mapped_graph_gene_id	mapped_canonical_gene_id	mapping_status	mapping_rule
FGRAMPH1_01G00963	ph1_gene_id	FGRAMPH1_01G00963	fgraminearum::FGRAMPH1_01G00963	resolved	exact_mainline_graph_id
FGRAMPH1_01G00969	ph1_gene_id	FGRAMPH1_01G00969	fgraminearum::FGRAMPH1_01G00969	resolved	exact_mainline_graph_id
FGRAMPH1_01G00979	ph1_gene_id	FGRAMPH1_01G00979	fgraminearum::FGRAMPH1_01G00979	resolved	exact_mainline_graph_id
FGRAMPH1_01G00985	ph1_gene_id	FGRAMPH1_01G00985	fgraminearum::FGRAMPH1_01G00985	resolved	exact_mainline_graph_id
FGRAMPH1_01G00989	ph1_gene_id	FGRAMPH1_01G00989	fgraminearum::FGRAMPH1_01G00989	resolved	exact_mainline_graph_id
FGRAMPH1_01G00991	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00999	ph1_gene_id	FGRAMPH1_01G00999	fgraminearum::FGRAMPH1_01G00999	resolved	exact_mainline_graph_id
FGRAMPH1_01G01015	ph1_gene_id	FGRAMPH1_01G01015	fgraminearum::FGRAMPH1_01G01015	resolved	exact_mainline_graph_id
FGRAMPH1_01G01017	ph1_gene_id	FGRAMPH1_01G01017	fgraminearum::FGRAMPH1_01G01017	resolved	exact_mainline_graph_id
FGRAMPH1_01G01037	ph1_gene_id	FGRAMPH1_01G01037	fgraminearum::FGRAMPH1_01G01037	resolved	exact_mainline_graph_id
FGRAMPH1_01G01039	ph1_gene_id	FGRAMPH1_01G01039	fgraminearum::FGRAMPH1_01G01039	resolved	exact_mainline_graph_id
FGRAMPH1_01G01045	ph1_gene_id	FGRAMPH1_01G01045	fgraminearum::FGRAMPH1_01G01045	resolved	exact_mainline_graph_id
FGRAMPH1_01G01057	ph1_gene_id	FGRAMPH1_01G01057	fgraminearum::FGRAMPH1_01G01057	resolved	exact_mainline_graph_id
