raw_string_protein_id	alias_count	matched_aliases	mapped_gene_id	mapping_status	mapping_method	evidence
7227.FBpp0081986	63			unmapped		Ensembl_EntrezGene; Ensembl_EntrezGene; Ensembl_STRING; Ensembl_protein_id; Ensembl_protein_id
7227.FBpp0081987	39	FBgn0037963(Ensembl_flybase_gene_id); FBgn0037963(Ensembl_gene); FBgn0037963(UniProt_DR_FlyBase)	FBgn0037963	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0081988	64	FBgn0037962(Ensembl_flybase_gene_id); FBgn0037962(Ensembl_gene); FBgn0037962(UniProt_DR_FlyBase)	FBgn0037962	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; UniProt_AC
7227.FBpp0081990	42	FBgn0037958(Ensembl_flybase_gene_id); FBgn0037958(Ensembl_gene); FBgn0037958(UniProt_DR_FlyBase)	FBgn0037958	mapped	alias_match	KEGG_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING
7227.FBpp0081994	97	FBgn0037955(Ensembl_flybase_gene_id); FBgn0037955(Ensembl_gene); FBgn0037955(UniProt_DR_FlyBase)	FBgn0037955	mapped	alias_match	KEGG_EC; KEGG_EC; UniProt_DE_SubName_EC; KEGG_EC; UniProt_DE_SubName_EC
7227.FBpp0082002	145			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_UniProt
7227.FBpp0082003	61			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082005	57			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_UniProt
7227.FBpp0082008	68	FBgn0017581(Ensembl_flybase_gene_id); FBgn0017581(Ensembl_gene); FBgn0017581(UniProt_DR_FlyBase)	FBgn0017581	mapped	alias_match	UniProt_DE_SubName_EC; KEGG_EC; UniProt_DE_SubName_EC; Ensembl_EntrezGene; KEGG_GENEID
7227.FBpp0082011	47	FBgn0037981(Ensembl_flybase_gene_id); FBgn0037981(Ensembl_gene); FBgn0037981(UniProt_DR_FlyBase)	FBgn0037981	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082012	45	FBgn0037985(Ensembl_flybase_gene_id); FBgn0037985(Ensembl_gene); FBgn0037985(UniProt_DR_FlyBase)	FBgn0037985	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082016	96			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082018	49	FBgn0037995(Ensembl_flybase_gene_id); FBgn0037995(Ensembl_gene); FBgn0037995(UniProt_DR_FlyBase)	FBgn0037995	mapped	alias_match	KEGG_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING
7227.FBpp0082019	39	FBgn0037994(Ensembl_flybase_gene_id); FBgn0037994(Ensembl_gene); FBgn0037994(UniProt_DR_FlyBase)	FBgn0037994	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082021	61	FBgn0261714(Ensembl_flybase_gene_id); FBgn0261714(Ensembl_gene); FBgn0261714(UniProt_DR_FlyBase)	FBgn0261714	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
