node_id	species	protocol	label	split	seed	baseline_pred_label	esm2_pred_label	baseline_pred_score	esm2_pred_score	transition	transition_display
FGRAMPH1_01G01951	fgraminearum	fgraminearum_newlabel	0	test	1029	0	1	0.2968132197856903	0.7830314636230469	TN_to_FP_regressed	TN_to_FP_regressed
FGRAMPH1_01G01953	fgraminearum	fgraminearum_newlabel	0	test	1029	0	1	0.0768258571624755	0.7386072874069214	TN_to_FP_regressed	TN_to_FP_regressed
FGRAMPH1_01G01959	fgraminearum	fgraminearum_newlabel	1	test	1029	1	1	0.9023481011390686	0.8640537858009338	TP_stable	TP_stable
FGRAMPH1_01G01965	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0001364054915029	5.3456001967598296e-14	TN_stable	TN_stable
FGRAMPH1_01G01969	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.015732605010271	3.0285750085568e-07	TN_stable	TN_stable
FGRAMPH1_01G01983	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0050885416567325	0.011397236958146	TN_stable	TN_stable
FGRAMPH1_01G01985	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0002206589269917	4.457868030272039e-08	TN_stable	TN_stable
FGRAMPH1_01G02015	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.120399035513401	0.0877854377031326	TN_stable	TN_stable
FGRAMPH1_01G02035	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0768003761768341	3.9783782995073125e-05	TN_stable	TN_stable
FGRAMPH1_01G02037	fgraminearum	fgraminearum_newlabel	0	test	1029	1	0	0.5077142119407654	0.0180605426430702	FP_to_TN_corrected	FP_to_TN_corrected
FGRAMPH1_01G02043	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0234752744436264	0.0225261505693197	TN_stable	TN_stable
FGRAMPH1_01G02047	fgraminearum	fgraminearum_newlabel	0	test	1029	1	0	0.6175121665000916	0.0221362337470054	FP_to_TN_corrected	FP_to_TN_corrected
FGRAMPH1_01G02063	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0630223825573921	0.0996652841567993	TN_stable	TN_stable
FGRAMPH1_01G02065	fgraminearum	fgraminearum_newlabel	0	test	1029	1	1	0.8003762364387512	0.9797454476356506	FP_persistent	persistent_FP
FGRAMPH1_01G02069	fgraminearum	fgraminearum_newlabel	0	test	1029	0	1	0.2940443456172943	0.5521180033683777	TN_to_FP_regressed	TN_to_FP_regressed
FGRAMPH1_01G02077	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0011444793781265	4.1879770762420784e-09	TN_stable	TN_stable
FGRAMPH1_01G02083	fgraminearum	fgraminearum_newlabel	0	test	1029	1	0	0.5464722514152527	0.0010358019499108	FP_to_TN_corrected	FP_to_TN_corrected
FGRAMPH1_01G02087	fgraminearum	fgraminearum_newlabel	0	test	1029	1	1	0.8105157613754272	0.7369636297225952	FP_persistent	persistent_FP
FGRAMPH1_01G02101	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0073350900784134	1.9479602935031093e-14	TN_stable	TN_stable
FGRAMPH1_01G02111	fgraminearum	fgraminearum_newlabel	1	test	1029	1	1	0.983823537826538	0.997364580631256	TP_stable	TP_stable
FGRAMPH1_01G02121	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0003440276486799	1.4497372636979995e-25	TN_stable	TN_stable
FGRAMPH1_01G02123	fgraminearum	fgraminearum_newlabel	0	test	1029	1	0	0.8254178762435913	0.2886070013046264	FP_to_TN_corrected	FP_to_TN_corrected
FGRAMPH1_01G02125	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.1094271838665008	5.247900389804272e-07	TN_stable	TN_stable
FGRAMPH1_01G02137	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	2.227153800049564e-06	0.0008218191214837	TN_stable	TN_stable
FGRAMPH1_01G02155	fgraminearum	fgraminearum_newlabel	0	test	1029	0	1	0.417920708656311	0.7664433121681213	TN_to_FP_regressed	TN_to_FP_regressed
