raw_probe_id	mapped_gene_id	mapping_status	mapping_method
Q6ZUS5	ENSG00000176714	mapped	alias_bridge
Q6ZUS6	ENSG00000181982	mapped	alias_bridge
Q6ZUT1	ENSG00000150776	mapped	alias_bridge
Q6ZUT3	ENSG00000165694	mapped	alias_bridge
Q6ZUT6	ENSG00000188549	mapped	alias_bridge
Q6ZUT9	ENSG00000170456	mapped	alias_bridge
Q6ZUU3	ENSG00000206262	mapped	alias_bridge
Q6ZUX3	ENSG00000189350	mapped	alias_bridge
Q6ZUX7	ENSG00000145685	mapped	alias_bridge
Q6ZV29	ENSG00000130653	mapped	alias_bridge
Q6ZV50	ENSG00000196460	mapped	alias_bridge
Q6ZV56		unmapped	none
Q6ZV60		unmapped	none
Q6ZV65	ENSG00000189157	mapped	alias_bridge
Q6ZV70	ENSG00000147036	mapped	alias_bridge
Q6ZV73	ENSG00000180263	mapped	alias_bridge
Q6ZV77		unmapped	none
Q6ZV80	ENSG00000205086	mapped	alias_bridge
Q6ZV89	ENSG00000189410	mapped	alias_bridge
Q6ZVC0	ENSG00000166924	mapped	alias_bridge
Q6ZVD7	ENSG00000165730	mapped	alias_bridge
Q6ZVD8	ENSG00000040199	mapped	alias_bridge
Q6ZVE7	ENSG00000174567	mapped	alias_bridge
Q6ZVF9	ENSG00000185477	mapped	alias_bridge
Q6ZVH7	ENSG00000144488	mapped	alias_bridge
Q6ZVK1	ENSG00000258986	mapped	alias_bridge
Q6ZVK8		unmapped	none
Q6ZVL6	ENSG00000110427	mapped	alias_bridge
Q6ZVM7	ENSG00000175662	mapped	alias_bridge
Q6ZVN8	ENSG00000168509	mapped	alias_bridge
Q6ZVS7		unmapped	none
Q6ZVT0	ENSG00000162571	mapped	alias_bridge
Q6ZVT6	ENSG00000163689	mapped	alias_bridge
Q6ZVW7	ENSG00000188263	mapped	alias_bridge
Q6ZVX7	ENSG00000188505	mapped	alias_bridge
Q6ZVX9	ENSG00000188582	mapped	alias_bridge
Q6ZVZ8	ENSG00000182177	mapped	alias_bridge
Q6ZW05	ENSG00000244694	mapped	alias_bridge
Q6ZW13	ENSG00000159761	mapped	alias_bridge
Q6ZW31	ENSG00000105137	mapped	alias_bridge
Q6ZW33	ENSG00000133816	mapped	alias_bridge
Q6ZW49	ENSG00000157212	mapped	alias_bridge
Q6ZW61	ENSG00000181004	mapped	alias_bridge
Q6ZW76	ENSG00000168096	mapped	alias_bridge
Q6ZWB6	ENSG00000183783	mapped	alias_bridge
Q6ZWE6	ENSG00000178385	mapped	alias_bridge
Q6ZWH5	ENSG00000163491	mapped	alias_bridge
Q6ZWI9	ENSG00000251258	mapped	alias_bridge
Q6ZWJ1	ENSG00000166263	mapped	alias_bridge
Q6ZWJ8		unmapped	none
Q6ZWK4	ENSG00000263961	mapped	alias_bridge
Q6ZWK6	ENSG00000198092	mapped	alias_bridge
Q6ZWL3	ENSG00000145476	mapped	alias_bridge
Q6ZWT7	ENSG00000143797	mapped	alias_bridge
Q6ZXV5	ENSG00000139324	mapped	alias_bridge
Q6ZYL4	ENSG00000272047	mapped	alias_bridge
Q701N2	ENSG00000185940	mapped	alias_bridge
Q701N4	ENSG00000205867	mapped	alias_bridge
Q702N8	ENSG00000168334	mapped	alias_bridge
Q709C8	ENSG00000129003	mapped	alias_bridge
Q709F0	ENSG00000240303	mapped	alias_bridge
Q70CQ1	ENSG00000164663	mapped	alias_bridge
Q70CQ3	ENSG00000135093	mapped	alias_bridge
Q70CQ4	ENSG00000103404	mapped	alias_bridge
Q70E73	ENSG00000173166	mapped	alias_bridge
Q70EK8	ENSG00000145390	mapped	alias_bridge
Q70EK9	ENSG00000247746	mapped	alias_bridge
Q70EL1	ENSG00000166348	mapped	alias_bridge
Q70EL2	ENSG00000123552	mapped	alias_bridge
Q70EL3	ENSG00000170236	mapped	alias_bridge
Q70EL4	ENSG00000154914	mapped	alias_bridge
Q70HW3	ENSG00000144741	mapped	alias_bridge
Q70IA6	ENSG00000182208	mapped	alias_bridge
Q70IA8	ENSG00000142961	mapped	alias_bridge
Q70J99	ENSG00000092929	mapped	alias_bridge
Q70JA7	ENSG00000198108	mapped	alias_bridge
Q70SY1	ENSG00000182158	mapped	alias_bridge
Q70UQ0	ENSG00000166130	mapped	alias_bridge
Q70YC5	ENSG00000138311	mapped	alias_bridge
Q70Z35	ENSG00000046889	mapped	alias_bridge
Q70Z44	ENSG00000186090	mapped	alias_bridge
Q70Z53	ENSG00000148690	mapped	alias_bridge
Q711Q0	ENSG00000177354	mapped	alias_bridge
Q712K3	ENSG00000107341	mapped	alias_bridge
Q717R9	ENSG00000205795	mapped	alias_bridge
Q719H9	ENSG00000134504	mapped	alias_bridge
Q719I0		unmapped	none
Q71DI3		unmapped	none
Q71F23	ENSG00000151725	mapped	alias_bridge
Q71F56	ENSG00000123066	mapped	alias_bridge
Q71H61	ENSG00000143195	mapped	alias_bridge
Q71RC2	ENSG00000161813	mapped	alias_bridge
Q71RC9	ENSG00000204323	mapped	alias_bridge
Q71RG4	ENSG00000168591	mapped	alias_bridge
Q71RH2	ENSG00000149926	mapped	alias_bridge
Q71RS6	ENSG00000188467	mapped	alias_bridge
Q71SY5	ENSG00000104973	mapped	alias_bridge
Q71U36	ENSG00000167552	mapped	alias_bridge
Q71UI9	ENSG00000105968	mapped	alias_bridge
Q71UM5	ENSG00000185088	mapped	alias_bridge
Q75LS8		unmapped	none
Q75MW2		unmapped	none
Q75N03	ENSG00000105879	mapped	alias_bridge
Q75N90	ENSG00000142449	mapped	alias_bridge
Q75NE6		unmapped	none
Q75QN2	ENSG00000164941	mapped	alias_bridge
Q75T13	ENSG00000197121	mapped	alias_bridge
Q75V66	ENSG00000171714	mapped	alias_bridge
Q75VX8	ENSG00000157833	mapped	alias_bridge
Q75WM6	ENSG00000187166	mapped	alias_bridge
Q765I0	ENSG00000188958	mapped	alias_bridge
Q765P7	ENSG00000132613	mapped	alias_bridge
Q76B58	ENSG00000162670	mapped	alias_bridge
Q76EJ3	ENSG00000130958	mapped	alias_bridge
Q76FK4	ENSG00000198000	mapped	alias_bridge
Q76G19	ENSG00000067840	mapped	alias_bridge
Q76I76	ENSG00000141298	mapped	alias_bridge
Q76KD6	ENSG00000186583	mapped	alias_bridge
Q76KP1	ENSG00000182272	mapped	alias_bridge
Q76KX8	ENSG00000198633	mapped	alias_bridge
Q76L83	ENSG00000143970	mapped	alias_bridge
Q76LX8	ENSG00000160323	mapped	alias_bridge
Q76M96	ENSG00000091986	mapped	alias_bridge
Q76MJ5	ENSG00000134398	mapped	alias_bridge
Q76N32	ENSG00000011523	mapped	alias_bridge
Q76N89	ENSG00000002746	mapped	alias_bridge
Q76NI1	ENSG00000171798	mapped	alias_bridge
Q7KYR7	ENSG00000112763	mapped	alias_bridge
Q7KZ85	ENSG00000109111	mapped	alias_bridge
Q7KZF4	ENSG00000197157	mapped	alias_bridge
Q7KZI7	ENSG00000072518	mapped	alias_bridge
Q7KZN9	ENSG00000014919	mapped	alias_bridge
Q7L014	ENSG00000145833	mapped	alias_bridge
Q7L099	ENSG00000018189	mapped	alias_bridge
Q7L0J3	ENSG00000159164	mapped	alias_bridge
Q7L0Q8	ENSG00000116574	mapped	alias_bridge
Q7L0R7	ENSG00000146083	mapped	alias_bridge
Q7L0X0		unmapped	none
Q7L0X2	ENSG00000163645	mapped	alias_bridge
Q7L0Y3	ENSG00000174173	mapped	alias_bridge
Q7L190	ENSG00000121570	mapped	alias_bridge
Q7L1I2	ENSG00000185518	mapped	alias_bridge
Q7L1Q6	ENSG00000082153	mapped	alias_bridge
Q7L1S5	ENSG00000154080	mapped	alias_bridge
Q7L1T6	ENSG00000065615	mapped	alias_bridge
Q7L1V2	ENSG00000103111	mapped	alias_bridge
Q7L1W4	ENSG00000171492	mapped	alias_bridge
Q7L211	ENSG00000139826	mapped	alias_bridge
Q7L266	ENSG00000162174	mapped	alias_bridge
Q7L273	ENSG00000104756	mapped	alias_bridge
Q7L2E3	ENSG00000132153	mapped	alias_bridge
Q7L2H7	ENSG00000149100	mapped	alias_bridge
Q7L2J0	ENSG00000146834	mapped	alias_bridge
Q7L2K0	ENSG00000162062	mapped	alias_bridge
Q7L2R6	ENSG00000196417	mapped	alias_bridge
Q7L2Z9	ENSG00000031691	mapped	alias_bridge
Q7L311	ENSG00000184867	mapped	alias_bridge
Q7L3B6	ENSG00000106993	mapped	alias_bridge
Q7L3S4	ENSG00000179965	mapped	alias_bridge
Q7L3T8	ENSG00000162396	mapped	alias_bridge
Q7L3V2	ENSG00000215012	mapped	alias_bridge
