source_ref_db	source_locus	source_gene	essentiality	matched_gene_id	match_type	match_status
PomBase	SPAC22A12.15c	bip1	E	SPAC22A12.15c.1:pep	locus_exact	matched
PomBase	SPAC22E12.02	SPAC22E12.02	E	SPAC22E12.02.1:pep	locus_exact	matched
PomBase	SPAC22E12.07	rna1	E	SPAC22E12.07.1:pep	locus_exact	matched
PomBase	SPAC22E12.08	rrn10	E	SPAC22E12.08.1:pep	locus_exact	matched
PomBase	SPAC22E12.09c	krp1	E	SPAC22E12.09c.1:pep	locus_exact	matched
PomBase	SPAC22E12.10c	etp1	E	SPAC22E12.10c.1:pep	locus_exact	matched
PomBase	SPAC22E12.13c	rlp24	E	SPAC22E12.13c.1:pep	locus_exact	matched
PomBase	SPAC22E12.16c	pik1	E	SPAC22E12.16c.1:pep	locus_exact	matched
PomBase	SPAC22E12.17c	glo3	E	SPAC22E12.17c.1:pep	locus_exact	matched
PomBase	SPAC22F3.05c	alp41	E	SPAC22F3.05c.1:pep	locus_exact	matched
PomBase	SPAC22F3.10c	gcs1	E	SPAC22F3.10c.1:pep	locus_exact	matched
PomBase	SPAC22F8.06	pam1	E	SPAC22F8.06.1:pep	locus_exact	matched
PomBase	SPAC22F8.08	sec24	E	SPAC22F8.08.1:pep	locus_exact	matched
PomBase	SPAC22F8.10c	sap145	E	SPAC22F8.10c.1:pep	locus_exact	matched
PomBase	SPAC22F8.11	plc1	E	SPAC22F8.11.1:pep	locus_exact	matched
PomBase	SPAC22G7.02	kap111	E	SPAC22G7.02.1:pep	locus_exact	matched
PomBase	SPAC22G7.09c	nup45	E	SPAC22G7.09c.1:pep	locus_exact	matched
PomBase	SPAC22G7.10	iss1	E	SPAC22G7.10.1:pep	locus_exact	matched
PomBase	SPAC22H10.05c	SPAC22H10.05c	E	SPAC22H10.05c.1:pep	locus_exact	matched
PomBase	SPAC22H10.10	alp21	E	SPAC22H10.10.1:pep	locus_exact	matched
PomBase	SPAC22H10.12c	gdi1	E	SPAC22H10.12c.1:pep	locus_exact	matched
PomBase	SPAC23A1.05	SPAC23A1.05	E	SPAC23A1.05.1:pep	locus_exact	matched
PomBase	SPAC23A1.08c	rpl3401	E	SPAC23A1.08c.1:pep	locus_exact	matched
PomBase	SPAC23A1.12c	frs1	E	SPAC23A1.12c.1:pep	locus_exact	matched
PomBase	SPAC23A1.16c	rtr1	E	SPAC23A1.16c.1:pep	locus_exact	matched
PomBase	SPAC23A1.18c	mrp51	E	SPAC23A1.18c.1:pep	locus_exact	matched
PomBase	SPAC23A1.19c	hrq1	E	SPAC23A1.19c.1:pep	locus_exact	matched
PomBase	SPAC23C11.03	mpp10	E	SPAC23C11.03.1:pep	locus_exact	matched
PomBase	SPAC23C11.05	ipp1	E	SPAC23C11.05.1:pep	locus_exact	matched
PomBase	SPAC23C11.09	ala1	E	SPAC23C11.09.1:pep	locus_exact	matched
PomBase	SPAC23C11.11	cka1	E	SPAC23C11.11.1:pep	locus_exact	matched
PomBase	SPAC23C11.12	hcn1	E	SPAC23C11.12.1:pep	locus_exact	matched
PomBase	SPAC23C11.16	plo1	E	SPAC23C11.16.1:pep	locus_exact	matched
PomBase	SPAC23C11.17	mdm28	E	SPAC23C11.17.1:pep	locus_exact	matched
PomBase	SPAC23C4.08	rho3	E	SPAC23C4.08.1:pep	locus_exact	matched
PomBase	SPAC23C4.10	sec2	E	SPAC23C4.10.1:pep	locus_exact	matched
PomBase	SPAC23C4.13	bet1	E	SPAC23C4.13.1:pep	locus_exact	matched
