source_ref_db	source_locus	source_gene	essentiality	matched_gene_id	match_type	match_status
SGD	S000002775	KEI1	E	YDR367W	locus_exact	matched
SGD	S000002781	FRQ1	E	YDR373W	locus_exact	matched
SGD	S000002789	YRA1	E	YDR381W	locus_exact	matched
SGD	S000002798	UBA2	E	YDR390C	locus_exact	matched
SGD	S000002802	RPT3	E	YDR394W	locus_exact	matched
SGD	S000002806	UTP5	E	YDR398W	locus_exact	matched
SGD	S000002812	RPB7	E	YDR404C	locus_exact	matched
SGD	S000002815	TRS120	E	YDR407C	locus_exact	matched
SGD	S000002820	RRP17	E	YDR412W	locus_exact	matched
SGD	S000002824	SYF1	E	YDR416W	locus_exact	matched
SGD	S000002837	TIF35	E	YDR429C	locus_exact	matched
SGD	S000002842	GPI17	E	YDR434W	locus_exact	matched
SGD	S000002845	GPI19	E	YDR437W	locus_exact	matched
SGD	S000002857	UTP6	E	YDR449C	locus_exact	matched
SGD	S000002862	GUK1	E	YDR454C	locus_exact	matched
SGD	S000002868	TFB3	E	YDR460W	locus_exact	matched
SGD	S000002872	SPP41	E	YDR464W	locus_exact	matched
SGD	S000002876	TLG1	E	YDR468C	locus_exact	matched
SGD	S000002880	TRS31	E	YDR472W	locus_exact	matched
SGD	S000002881	PRP3	E	YDR473C	locus_exact	matched
SGD	S000002886	SNM1	E	YDR478W	locus_exact	matched
SGD	S000002895	RIB3	E	YDR487C	locus_exact	matched
SGD	S000002897	SLD5	E	YDR489W	locus_exact	matched
SGD	S000002906	SEC20	E	YDR498C	locus_exact	matched
SGD	S000002918	SMT3	E	YDR510W	locus_exact	matched
SGD	S000002935	RBA50	E	YDR527W	locus_exact	matched
SGD	S000002939	CAB1	E	YDR531W	locus_exact	matched
SGD	S000002965	SMX2	E	YFL017W-A	locus_exact	matched
SGD	S000002969	ERG26	E	YGL001C	locus_exact	matched
SGD	S000002976	PMA1	E	YGL008C	locus_exact	matched
SGD	S000002979	SCL1	E	YGL011C	locus_exact	matched
SGD	S000002986	JAC1	E	YGL018C	locus_exact	matched
SGD	S000002990	STT3	E	YGL022W	locus_exact	matched
SGD	S000002998	RPL30	E	YGL030W	locus_exact	matched
SGD	S000003008	HEM2	E	YGL040C	locus_exact	matched
SGD	S000003012	RNA15	E	YGL044C	locus_exact	matched
SGD	S000003015	ALG13	E	YGL047W	locus_exact	matched
SGD	S000003016	RPT6	E	YGL048C	locus_exact	matched
SGD	S000003023	OLE1	E	YGL055W	locus_exact	matched
SGD	S000003029	DUO1	E	YGL061C	locus_exact	matched
SGD	S000003033	ALG2	E	YGL065C	locus_exact	matched
SGD	S000003041	HSF1	E	YGL073W	locus_exact	matched
SGD	S000003043	MPS2	E	YGL075C	locus_exact	matched
SGD	S000003059	NBP35	E	YGL091C	locus_exact	matched
SGD	S000003060	NUP145	E	YGL092W	locus_exact	matched
SGD	S000003061	SPC105	E	YGL093W	locus_exact	matched
SGD	S000003065	SRM1	E	YGL097W	locus_exact	matched
SGD	S000003066	USE1	E	YGL098W	locus_exact	matched
SGD	S000003071	RPL28	E	YGL103W	locus_exact	matched
SGD	S000003074	MLC1	E	YGL106W	locus_exact	matched
SGD	S000003079	NSA1	E	YGL111W	locus_exact	matched
SGD	S000003080	TAF6	E	YGL112C	locus_exact	matched
SGD	S000003081	SLD3	E	YGL113W	locus_exact	matched
SGD	S000003084	CDC20	E	YGL116W	locus_exact	matched
SGD	S000003088	PRP43	E	YGL120C	locus_exact	matched
SGD	S000003090	NAB2	E	YGL122C	locus_exact	matched
SGD	S000003091	RPS2	E	YGL123W	locus_exact	matched
SGD	S000003096	CWC23	E	YGL128C	locus_exact	matched
SGD	S000003098	CEG1	E	YGL130W	locus_exact	matched
SGD	S000003105	SEC27	E	YGL137W	locus_exact	matched
SGD	S000003110	GPI10	E	YGL142C	locus_exact	matched
SGD	S000003113	TIP20	E	YGL145W	locus_exact	matched
SGD	S000003123	CDC43	E	YGL155W	locus_exact	matched
SGD	S000003139	ROK1	E	YGL171W	locus_exact	matched
SGD	S000003140	NUP49	E	YGL172W	locus_exact	matched
SGD	S000003157	RPS26A	E	YGL189C	locus_exact	matched
SGD	S000003169	MCM6	E	YGL201C	locus_exact	matched
SGD	S000003175	SPT16	E	YGL207W	locus_exact	matched
SGD	S000003193	VRG4	E	YGL225W	locus_exact	matched
SGD	S000003202	SEC15	E	YGL233W	locus_exact	matched
SGD	S000003207	CSE1	E	YGL238W	locus_exact	matched
SGD	S000003214	GUS1	E	YGL245W	locus_exact	matched
SGD	S000003216	BRR6	E	YGL247W	locus_exact	matched
SGD	S000003234	SWC4	E	YGR002C	locus_exact	matched
