gene_id	source_ref_db	source_locus	source_gene	match_type
YJL111W	SGD	S000003647	CCT7	locus_exact
YJL125C	SGD	S000003661	GCD14	locus_exact
YJL143W	SGD	S000003679	TIM17	locus_exact
YJL167W	SGD	S000003703	ERG20	locus_exact
YJL173C	SGD	S000003709	RFA3	locus_exact
YJL174W	SGD	S000003710	KRE9	locus_exact
YJL194W	SGD	S000003730	CDC6	locus_exact
YJL203W	SGD	S000003739	PRP21	locus_exact
YJR002W	SGD	S000003762	MPP10	locus_exact
YJR006W	SGD	S000003766	POL31	locus_exact
YJR007W	SGD	S000003767	SUI2	locus_exact
YJR012C	SGD	S000003773	NA	locus_exact
YJR013W	SGD	S000003774	GPI14	locus_exact
YJR016C	SGD	S000003777	ILV3	locus_exact
YJR017C	SGD	S000003778	ESS1	locus_exact
YJR022W	SGD	S000003783	LSM8	locus_exact
YJR041C	SGD	S000003802	URB2	locus_exact
YJR042W	SGD	S000003803	NUP85	locus_exact
YJR045C	SGD	S000003806	SSC1	locus_exact
YJR046W	SGD	S000003807	TAH11	locus_exact
YJR057W	SGD	S000003818	CDC8	locus_exact
YJR064W	SGD	S000003825	CCT5	locus_exact
YJR067C	SGD	S000003828	YAE1	locus_exact
YJR068W	SGD	S000003829	RFC2	locus_exact
YJR072C	SGD	S000003833	NPA3	locus_exact
YJR076C	SGD	S000003837	CDC11	locus_exact
YJR093C	SGD	S000003853	FIP1	locus_exact
YJR095W	SGD	S000003856	SFC1	locus_exact
YJR112W	SGD	S000003873	NNF1	locus_exact
YJR123W	SGD	S000003884	RPS5	locus_exact
YJR136C	SGD	S000003897	TTI2	locus_exact
YJR141W	SGD	S000003902	IPA1	locus_exact
YKL004W	SGD	S000001487	AUR1	locus_exact
YKL006C-A	SGD	S000002101	SFT1	locus_exact
YKL012W	SGD	S000001495	PRP40	locus_exact
YKL013C	SGD	S000001496	ARC19	locus_exact
YKL014C	SGD	S000001497	URB1	locus_exact
YKL018W	SGD	S000001501	SWD2	locus_exact
YKL019W	SGD	S000001502	RAM2	locus_exact
YKL021C	SGD	S000001504	MAK11	locus_exact
YKL022C	SGD	S000001505	CDC16	locus_exact
YKL024C	SGD	S000001507	URA6	locus_exact
YKL028W	SGD	S000001511	TFA1	locus_exact
YKL033W	SGD	S000001516	TTI1	locus_exact
YKL035W	SGD	S000001518	UGP1	locus_exact
YKL042W	SGD	S000001525	SPC42	locus_exact
YKL045W	SGD	S000001528	PRI2	locus_exact
YKL049C	SGD	S000001532	CSE4	locus_exact
YKL052C	SGD	S000001535	ASK1	locus_exact
YKL058W	SGD	S000001541	TOA2	locus_exact
YKL059C	SGD	S000001542	MPE1	locus_exact
YKL060C	SGD	S000001543	FBA1	locus_exact
YKL078W	SGD	S000001561	DHR2	locus_exact
YKL088W	SGD	S000001571	CAB3	locus_exact
YKL089W	SGD	S000001572	MIF2	locus_exact
YKL095W	SGD	S000001578	YJU2	locus_exact
YKL099C	SGD	S000001582	UTP11	locus_exact
YKL104C	SGD	S000001587	GFA1	locus_exact
YKL108W	SGD	S000001591	SLD2	locus_exact
YKL112W	SGD	S000001595	ABF1	locus_exact
