gene_id	source_ref_db	source_locus	source_gene	match_type
SPAC23C11.11.1:pep	PomBase	SPAC23C11.11	cka1	locus_exact
SPAC23C11.12.1:pep	PomBase	SPAC23C11.12	hcn1	locus_exact
SPAC23C11.16.1:pep	PomBase	SPAC23C11.16	plo1	locus_exact
SPAC23C11.17.1:pep	PomBase	SPAC23C11.17	mdm28	locus_exact
SPAC23C4.08.1:pep	PomBase	SPAC23C4.08	rho3	locus_exact
SPAC23C4.10.1:pep	PomBase	SPAC23C4.10	sec2	locus_exact
SPAC23C4.13.1:pep	PomBase	SPAC23C4.13	bet1	locus_exact
SPAC23C4.14.1:pep	PomBase	SPAC23C4.14	alg1	locus_exact
SPAC23C4.15.1:pep	PomBase	SPAC23C4.15	rpb5	locus_exact
SPAC23C4.18c.1:pep	PomBase	SPAC23C4.18c	rad4	locus_exact
SPAC23C4.19.1:pep	PomBase	SPAC23C4.19	spt5	locus_exact
SPAC23D3.02.1:pep	PomBase	SPAC23D3.02	rfc2	locus_exact
SPAC23D3.06c.1:pep	PomBase	SPAC23D3.06c	nup146	locus_exact
SPAC23D3.07.1:pep	PomBase	SPAC23D3.07	pup1	locus_exact
SPAC23D3.08.1:pep	PomBase	SPAC23D3.08	usp108	locus_exact
SPAC23E2.02.1:pep	PomBase	SPAC23E2.02	lsd2	locus_exact
SPAC23G3.01.1:pep	PomBase	SPAC23G3.01	rpb2	locus_exact
SPAC23G3.06.1:pep	PomBase	SPAC23G3.06	nop58	locus_exact
SPAC23G3.09.1:pep	PomBase	SPAC23G3.09	taf4	locus_exact
SPAC23G3.10c.1:pep	PomBase	SPAC23G3.10c	ssr3	locus_exact
SPAC23G3.11.1:pep	PomBase	SPAC23G3.11	rpn6	locus_exact
SPAC23H3.02c.1:pep	PomBase	SPAC23H3.02c	ini1	locus_exact
SPAC23H3.07c.1:pep	PomBase	SPAC23H3.07c	mrp2	locus_exact
SPAC23H3.10.1:pep	PomBase	SPAC23H3.10	ssr2	locus_exact
SPAC23H3.15c.1:pep	PomBase	SPAC23H3.15c	SPAC23H3.15c	locus_exact
SPAC23H4.03c.1:pep	PomBase	SPAC23H4.03c	erv25	locus_exact
SPAC23H4.04.1:pep	PomBase	SPAC23H4.04	slm3	locus_exact
SPAC23H4.06.1:pep	PomBase	SPAC23H4.06	gln1	locus_exact
SPAC23H4.07c.1:pep	PomBase	SPAC23H4.07c	srp102	locus_exact
SPAC23H4.11c.1:pep	PomBase	SPAC23H4.11c	cnl2	locus_exact
SPAC23H4.15.1:pep	PomBase	SPAC23H4.15	tsr1	locus_exact
SPAC23H4.18c.1:pep	PomBase	SPAC23H4.18c	rbx1	locus_exact
SPAC24B11.11c.1:pep	PomBase	SPAC24B11.11c	sid2	locus_exact
SPAC24C9.03.1:pep	PomBase	SPAC24C9.03	mvd1	locus_exact
SPAC24C9.04.1:pep	PomBase	SPAC24C9.04	SPAC24C9.04	locus_exact
SPAC24C9.06c.1:pep	PomBase	SPAC24C9.06c	aco1	locus_exact
