raw_string_protein_id	alias_count	matched_aliases	mapped_gene_id	mapping_status	mapping_method	evidence
4932.YLR320W	39	S000004312(SGD_ID); S000004312(UniProt_DR_SGD)	S000004312	mapped	alias_match	Ensembl_STRING; UniProt_DR_PDB; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR321C	39	S000004313(SGD_ID); S000004313(UniProt_DR_SGD)	S000004313	mapped	alias_match	Ensembl_STRING; UniProt_DR_PDB; UniProt_DR_PDB; UniProt_DR_PDB; Ensembl_EntrezGene
4932.YLR322W	17			unmapped		Ensembl_STRING; Ensembl_protein_id; Ensembl_UniProt; UniProt_AC; UniProt_DE_RecName_Full
4932.YLR323C	39	S000004315(SGD_ID); S000004315(UniProt_DR_SGD)	S000004315	mapped	alias_match	Ensembl_STRING; Ensembl_PDB; UniProt_DR_PDB; Ensembl_EntrezGene; KEGG_GENEID
4932.YLR324W	37	S000004316(SGD_ID); S000004316(UniProt_DR_SGD)	S000004316	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR325C	193	S000004317(SGD_ID); S000004317(UniProt_DR_SGD)	S000004317	mapped	alias_match	Ensembl_PDB; UniProt_DR_PDB; Ensembl_PDB; UniProt_DR_PDB; Ensembl_PDB
4932.YLR326W	30	S000004318(SGD_ID); S000004318(UniProt_DR_SGD)	S000004318	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR327C	38	S000004319(SGD_ID); S000004319(UniProt_DR_SGD)	S000004319	mapped	alias_match	Ensembl_STRING; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id; UniProt_AC
4932.YLR328W	50	S000004320(SGD_ID); S000004320(UniProt_DR_SGD)	S000004320	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; KEGG_EC; UniProt_DE_RecName_EC; Ensembl_STRING
4932.YLR329W	37	S000004321(SGD_ID); S000004321(UniProt_DR_SGD)	S000004321	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR330W	48	S000004322(SGD_ID); S000004322(UniProt_DR_SGD)	S000004322	mapped	alias_match	Ensembl_STRING; Ensembl_PDB; UniProt_DR_PDB; Ensembl_PDB; UniProt_DR_PDB
4932.YLR331C	25			unmapped		Ensembl_STRING; KEGG_GENEID; UniProt_AC; Ensembl_protein_id; Ensembl_protein_id
